코드 번호	회사명	업종 (대)	코드 번호	코드 번호
A033200	모아텍	전기 및 전자기기	KQ	33200
A147830	제룡산업	기계	KQ	147830
A004870	티웨이홀딩스	지주사	KS	4870
A069410	엔텔스	통신	KQ	69410
A046210	파나진	의료기기 및 용품	KQ	46210
A071460	위니아딤채	가정용품	KQ	71460
A215360	우리산업	자동차 및 관련부품	KQ	215360
A001720	신영증권	금융	KS	1720
A052710	아모텍	IT 장비 및 소재	KQ	52710
A000140	하이트진로홀딩스	지주사	KS	140
A228760	지노믹트리	의료기기 및 용품	KQ	228760
A217330	싸이토젠	제약 및 바이오	KQ	217330
A034300	신세계건설	건설 및 건축자재	KS	34300
A052220	IMBC	미디어 및 엔터	KQ	52220
A173940	에프엔씨엔터	미디어 및 엔터	KQ	173940
A288620	에스퓨얼셀	IT 장비 및 소재	KQ	288620
A038290	마크로젠	의료기기 및 용품	KQ	38290
A043340	에쎈테크	기계	KQ	43340
A004890	동일산업	철강 및 비철강	KS	4890
A263810	상신전자	IT 장비 및 소재	KQ	263810
A019660	글로본	금융	KQ	19660
A238120	얼라인드	의료기기 및 용품	KQ	238120
A079430	현대리바트	가정용품	KS	79430
A317690	퀀타매트릭스	의료기기 및 용품	KQ	317690
A000970	한국주철관	철강 및 비철강	KS	970
A046070	코다코	자동차 및 관련부품	KQ	46070
A357550	석경에이티	화학	KQ	357550
A071280	로체시스템즈	디스플레이 장비 및 부품	KQ	71280
A208140	정다운	식음료	KQ	208140
A348030	모비릭스	IT서비스	KQ	348030
A004590	한국가구	가정용품	KQ	4590
A307180	아이엘사이언스	디스플레이 장비 및 부품	KQ	307180
A099410	동방선기	조선	KQ	99410
A222040	코스맥스엔비티	식음료	KQ	222040
A060570	드림어스컴퍼니	가정용품	KQ	60570
A250060	모비스	IT서비스	KQ	250060
A236200	슈프리마	전기 및 전자기기	KQ	236200
A066620	국보디자인	건설 및 건축자재	KQ	66620
A225330	씨엠에스에듀	일반서비스	KQ	225330
A085810	알티캐스트	IT서비스	KQ	85810
A090080	평화산업	자동차 및 관련부품	KS	90080
A016590	신대양제지	종이 및 용기	KS	16590
A013120	동원개발	건설 및 건축자재	KQ	13120
A079950	인베니아	디스플레이 장비 및 부품	KQ	79950
A011560	세보엠이씨	건설 및 건축자재	KQ	11560
A200230	텔콘RF제약	통신	KQ	200230
A006980	우성	식음료	KS	6980
A042520	한스바이오메드	의료기기 및 용품	KQ	42520
A066590	우수AMS	자동차 및 관련부품	KQ	66590
A192400	쿠쿠홀딩스	가정용품	KS	192400
A004960	한신공영	건설 및 건축자재	KS	4960
A004710	한솔테크닉스	IT 장비 및 소재	KS	4710
A059210	메타바이오메드	의료기기 및 용품	KQ	59210
A083660	CSA 코스믹	건설 및 건축자재	KQ	83660
A217820	엔에스	IT 장비 및 소재	KQ	217820
A048430	유라테크	자동차 및 관련부품	KQ	48430
A007160	사조산업	식음료	KS	7160
A272550	삼양패키징	종이 및 용기	KS	272550
A147760	마이크로프랜드	반도체 관련장비 및 부품	KQ	147760
A347740	피엔케이피부임상연구센타	제약 및 바이오	KQ	347740
A054540	삼영엠텍	기계	KQ	54540
A246690	TS인베스트먼트	금융	KQ	246690
A063160	종근당바이오	제약 및 바이오	KS	63160
A121440	골프존뉴딘홀딩스	지주사	KQ	121440
A099390	브레인즈컴퍼니	IT서비스	KQ	99390
A068790	DMS	디스플레이 장비 및 부품	KQ	68790
A002840	미원상사	화학	KS	2840
A002320	한진	운송 및 물류	KS	2320
A023810	인팩	자동차 및 관련부품	KS	23810
A079980	휴비스	섬유 및 의류	KS	79980
A027410	BGF	지주사	KS	27410
A317120	라닉스	통신	KQ	317120
A024880	케이피에프	자동차 및 관련부품	KQ	24880
A123860	아나패스	디스플레이 장비 및 부품	KQ	123860
A010170	대한광통신	전기 및 전자기기	KQ	10170
A036180	지더블유바이텍	제약 및 바이오	KQ	36180
A083500	에프엔에스테크	디스플레이 장비 및 부품	KQ	83500
A109740	디에스케이	디스플레이 장비 및 부품	KQ	109740
A334890	이지스밸류리츠	일반서비스	KS	334890
A023600	삼보판지	종이 및 용기	KQ	23600
A251370	와이엠티	IT 장비 및 소재	KQ	251370
A017370	우신시스템	자동차 및 관련부품	KS	17370
A005810	풍산홀딩스	지주사	KS	5810
A044960	이글벳	제약 및 바이오	KQ	44960
A025560	미래산업	반도체 관련장비 및 부품	KS	25560
A008490	서흥	제약 및 바이오	KS	8490
A032860	휴먼엔	철강 및 비철강	KQ	32860
A054620	APS홀딩스	지주사	KQ	54620
A082660	코스나인	IT 장비 및 소재	KQ	82660
A203400	에이비온	제약 및 바이오	KQ	203400
A322510	제이엘케이	의료기기 및 용품	KQ	322510
A212560	네오오토	자동차 및 관련부품	KQ	212560
A217190	제너셈	반도체 관련장비 및 부품	KQ	217190
A084180	수성이노베이션	기계	KQ	84180
A219130	타이거일렉	반도체 관련장비 및 부품	KQ	219130
A099440	스맥	기계	KQ	99440
A122310	제노레이	의료기기 및 용품	KQ	122310
A321820	와이더플래닛	IT서비스	KQ	321820
A101930	인화정공	조선	KQ	101930
A219420	링크제니시스	IT서비스	KQ	219420
A040300	YTN	미디어 및 엔터	KQ	40300
A298060	에스씨엠생명과학	제약 및 바이오	KQ	298060
A016610	DB금융투자	금융	KS	16610
A317870	엔바이오니아	가정용품	KQ	317870
A027740	마니커	식음료	KS	27740
A065570	삼영이엔씨	조선	KQ	65570
A049960	쎌바이오텍	제약 및 바이오	KQ	49960
A160980	싸이맥스	반도체 관련장비 및 부품	KQ	160980
A210980	SK디앤디	일반서비스	KS	210980
A009410	태영건설	건설 및 건축자재	KS	9410
A078020	이베스트투자증권	금융	KQ	78020
A001000	신라섬유	섬유 및 의류	KQ	1000
A170790	파이오링크	통신	KQ	170790
A001880	DL건설	건설 및 건축자재	KS	1880
A019590	엠벤처투자	금융	KQ	19590
A079810	디이엔티	디스플레이 장비 및 부품	KQ	79810
A214370	케어젠	제약 및 바이오	KQ	214370
A017650	대림제지	종이 및 용기	KQ	17650
A092130	이크레더블	일반서비스	KQ	92130
A045520	크린앤사이언스	자동차 및 관련부품	KQ	45520
A003080	성보화학	화학	KS	3080
A007370	진양제약	제약 및 바이오	KQ	7370
A120030	조선선재	철강 및 비철강	KS	120030
A012280	영화금속	자동차 및 관련부품	KS	12280
A092460	한라IMS	조선	KQ	92460
A004910	조광페인트	건설 및 건축자재	KS	4910
A040420	정상제이엘에스	일반서비스	KQ	40420
A200670	휴메딕스	제약 및 바이오	KQ	200670
A039560	다산네트웍스	통신	KQ	39560
A076080	웰크론한텍	기계	KQ	76080
A072990	에이치시티	전기 및 전자기기	KQ	72990
A255220	SG	건설 및 건축자재	KQ	255220
A004450	삼화왕관	종이 및 용기	KS	4450
A000320	노루홀딩스	지주사	KS	320
A053620	태양	종이 및 용기	KQ	53620
A136540	윈스	IT서비스	KQ	136540
A058400	KNN	미디어 및 엔터	KQ	58400
A027830	대성창투	금융	KQ	27830
A002240	고려제강	철강 및 비철강	KS	2240
A109080	옵티시스	통신	KQ	109080
A015890	태경산업	철강 및 비철강	KS	15890
A143160	아이디스	전기 및 전자기기	KQ	143160
A054920	한컴위드	IT서비스	KQ	54920
A321550	티움바이오	제약 및 바이오	KQ	321550
A258790	소프트캠프	IT서비스	KQ	258790
