코드 번호	회사명	업종 (대)	코드 번호	코드 번호
A395400	SK리츠	일반서비스	KS	395400
A073560	우리손에프앤지	식음료	KQ	73560
A025750	한솔홈데코	건설 및 건축자재	KS	25750
A016740	두올	자동차 및 관련부품	KS	16740
A003540	대신증권	금융	KS	3540
A214430	아이쓰리시스템	기계	KQ	214430
A093320	케이아이엔엑스	IT서비스	KQ	93320
A054040	한국컴퓨터	디스플레이 장비 및 부품	KQ	54040
A036830	솔브레인홀딩스	지주사	KQ	36830
A036620	감성코퍼레이션	종이 및 용기	KQ	36620
A006840	AK홀딩스	지주사	KS	6840
A049770	동원F&B	식음료	KS	49770
A064800	젬백스링크	IT서비스	KQ	64800
A042500	링네트	IT서비스	KQ	42500
A082920	비츠로셀	유틸리티	KQ	82920
A017480	삼현철강	철강 및 비철강	KQ	17480
A101140	인바이오젠	섬유 및 의류	KS	101140
A024840	KBI메탈	전기 및 전자기기	KQ	24840
A073570	WI	반도체 관련장비 및 부품	KQ	73570
A023590	다우기술	IT서비스	KS	23590
A002020	코오롱	지주사	KS	2020
A089600	나스미디어	미디어 및 엔터	KQ	89600
A018290	브이티지엠피	기계	KQ	18290
A049630	재영솔루텍	IT 장비 및 소재	KQ	49630
A101360	이엔드디	자동차 및 관련부품	KQ	101360
A338220	뷰노	의료기기 및 용품	KQ	338220
A213500	한솔제지	종이 및 용기	KS	213500
A079960	동양이엔피	IT 장비 및 소재	KQ	79960
A005500	삼진제약	제약 및 바이오	KS	5500
A009580	무림P&P	종이 및 용기	KS	9580
A031440	신세계푸드	식음료	KS	31440
A008970	동양철관	철강 및 비철강	KS	8970
A060230	얍엑스	IT 장비 및 소재	KQ	60230
A205500	액션스퀘어	미디어 및 엔터	KQ	205500
A171090	선익시스템	디스플레이 장비 및 부품	KQ	171090
A036580	팜스코	식음료	KS	36580
A087260	모바일어플라이언스	자동차 및 관련부품	KQ	87260
A900250	크리스탈신소재	화학	KQ	900250
A042940	상지카일룸	건설 및 건축자재	KQ	42940
A377450	리파인	IT서비스	KQ	377450
A002870	신풍제지	종이 및 용기	KS	2870
A315640	딥노이드	IT서비스	KQ	315640
A227100	에이치앤비디자인	IT 장비 및 소재	KQ	227100
A274090	켄코아에어로스페이스	기계	KQ	274090
A025540	한국단자	자동차 및 관련부품	KS	25540
A004060	SG세계물산	섬유 및 의류	KS	4060
A200710	에이디테크놀로지	반도체 관련장비 및 부품	KQ	200710
A024090	디씨엠	철강 및 비철강	KS	24090
A090850	현대이지웰	IT서비스	KQ	90850
A054050	농우바이오	식음료	KQ	54050
A154030	아시아종묘	식음료	KQ	154030
A050960	수산아이앤티	IT서비스	KQ	50960
A060590	씨티씨바이오	제약 및 바이오	KQ	60590
A052790	액토즈소프트	미디어 및 엔터	KQ	52790
A317530	캐리소프트	IT서비스	KQ	317530
A330590	롯데리츠	일반서비스	KS	330590
A080010	이상네트웍스	유통	KQ	80010
A119830	아이텍	반도체 관련장비 및 부품	KQ	119830
A175250	아이큐어	제약 및 바이오	KQ	175250
A031330	에스에이엠티	유통	KQ	31330
A057540	옴니시스템	유틸리티	KQ	57540
A161000	애경케미칼	화학	KS	161000
A086890	이수앱지스	제약 및 바이오	KQ	86890
A306200	세아제강	철강 및 비철강	KS	306200
A105550	트루윈	자동차 및 관련부품	KQ	105550
A011370	서한	건설 및 건축자재	KQ	11370
A039420	케이엘넷	IT서비스	KQ	39420
A002310	아세아제지	종이 및 용기	KS	2310
A007700	F&F홀딩스	지주사	KS	7700
A088290	이원컴포텍	자동차 및 관련부품	KQ	88290
A298870	케이티비네트워크	금융	KQ	298870
A011090	에넥스	가정용품	KS	11090
A003200	일신방직	섬유 및 의류	KS	3200
A330350	위더스제약	제약 및 바이오	KQ	330350
A053080	원방테크	기계	KQ	53080
A363280	티와이홀딩스	지주사	KS	363280
A088390	이녹스	IT 장비 및 소재	KQ	88390
A109820	진매트릭스	제약 및 바이오	KQ	109820
A014280	금강공업	건설 및 건축자재	KS	14280
A214260	라파스	가정용품	KQ	214260
A145270	케이탑리츠	일반서비스	KS	145270
A010690	화신	자동차 및 관련부품	KS	10690
A136490	선진	식음료	KS	136490
A045300	성우테크론	반도체 관련장비 및 부품	KQ	45300
A003010	혜인	기계	KS	3010
A110790	크리스에프앤씨	섬유 및 의류	KQ	110790
A214320	이노션	미디어 및 엔터	KS	214320
A052020	에스티큐브	제약 및 바이오	KQ	52020
A019550	SBI인베스트먼트	금융	KQ	19550
A093190	빅솔론	전기 및 전자기기	KQ	93190
A150900	파수	IT서비스	KQ	150900
A200880	서연이화	자동차 및 관련부품	KS	200880
A090410	덕신하우징	건설 및 건축자재	KQ	90410
A009180	한솔로지스틱스	운송 및 물류	KS	9180
A322310	오로스테크놀로지	반도체 관련장비 및 부품	KQ	322310
A089850	유비벨록스	전기 및 전자기기	KQ	89850
A001570	금양	화학	KS	1570
A194700	노바렉스	제약 및 바이오	KQ	194700
A251970	펌텍코리아	종이 및 용기	KQ	251970
A059270	해성티피씨	기계	KQ	59270
A051160	지어소프트	IT서비스	KQ	51160
A297890	HB솔루션	반도체 관련장비 및 부품	KQ	297890
A347700	라이프시맨틱스	의료기기 및 용품	KQ	347700
A206400	베노홀딩스	미디어 및 엔터	KQ	206400
A003160	디아이	반도체 관련장비 및 부품	KS	3160
A053590	한국테크놀로지	기계	KQ	53590
A187660	에이디엠코리아	제약 및 바이오	KQ	187660
A093240	형지엘리트	섬유 및 의류	KS	93240
A232140	와이아이케이	반도체 관련장비 및 부품	KQ	232140
A052420	오성첨단소재	디스플레이 장비 및 부품	KQ	52420
A241690	유니테크노	자동차 및 관련부품	KQ	241690
A060980	한라홀딩스	지주사	KS	60980
A022220	정산애강	건설 및 건축자재	KQ	22220
A001510	SK증권	금융	KS	1510
A133750	메가엠디	일반서비스	KQ	133750
A001790	대한제당	식음료	KS	1790
A008250	이건산업	건설 및 건축자재	KS	8250
A365270	큐라클	제약 및 바이오	KQ	365270
A060370	KT서브마린	건설 및 건축자재	KQ	60370
A153490	우리이앤엘	디스플레이 장비 및 부품	KQ	153490
A044480	블루베리 NFT	가정용품	KQ	44480
A376290	씨유테크	IT 장비 및 소재	KQ	376290
A060380	동양에스텍	철강 및 비철강	KQ	60380
A208640	썸에이지	미디어 및 엔터	KQ	208640
A216080	제테마	의료기기 및 용품	KQ	216080
A226950	올릭스	제약 및 바이오	KQ	226950
A052460	아이크래프트	통신	KQ	52460
A006200	한국전자홀딩스	지주사	KS	6200
A347890	엠투아이	IT 장비 및 소재	KQ	347890
A006220	제주은행	금융	KS	6220
A038010	제일테크노스	건설 및 건축자재	KQ	38010
A214870	뉴지랩파마	전기 및 전자기기	KQ	214870
A297570	알로이스	전기 및 전자기기	KQ	297570
A153710	옵티팜	제약 및 바이오	KQ	153710
A006490	인스코비	전기 및 전자기기	KS	6490
A106520	노블엠앤비	IT 장비 및 소재	KQ	106520
A084690	대상홀딩스	지주사	KS	84690
A018250	애경산업	가정용품	KS	18250
A013990	아가방컴퍼니	유아동산업	KQ	13990
A007310	오뚜기	식음료	KS	7310
A001530	DI동일	섬유 및 의류	KS	1530
A133820	화인베스틸	조선	KS	133820
A003960	사조대림	식음료	KS	3960
A042110	에스씨디	가정용품	KQ	42110
A001840	이화공영	건설 및 건축자재	KQ	1840
A041830	인바디	의료기기 및 용품	KQ	41830
A001520	동양	건설 및 건축자재	KS	1520
A356890	싸이버원	IT서비스	KQ	356890
A001130	대한제분	식음료	KS	1130
A099320	쎄트렉아이	기계	KQ	99320
A126560	현대퓨처넷	미디어 및 엔터	KS	126560
A073240	금호타이어	자동차 및 관련부품	KS	73240
A019770	서연탑메탈	자동차 및 관련부품	KQ	19770
A010640	진양폴리	화학	KS	10640
A023410	유진기업	건설 및 건축자재	KQ	23410
A225530	보광산업	건설 및 건축자재	KQ	225530
A101170	우림피티에스	기계	KQ	101170
A004690	삼천리	유틸리티	KS	4690
A047920	HLB제약	제약 및 바이오	KQ	47920
A040350	큐로컴	IT서비스	KQ	40350
A304100	솔트룩스	IT서비스	KQ	304100
A158430	아톤	IT서비스	KQ	158430
A003310	대주산업	식음료	KQ	3310
A048910	대원미디어	유아동산업	KQ	48910
A139990	아주스틸	철강 및 비철강	KS	139990
A104460	디와이피엔에프	기계	KQ	104460
A051630	진양화학	화학	KS	51630
A064960	SNT모티브	자동차 및 관련부품	KS	64960
A004310	현대약품	제약 및 바이오	KS	4310
A022100	포스코 ICT	IT서비스	KQ	22100
A082210	옵트론텍	IT 장비 및 소재	KQ	82210
A003100	선광	운송 및 물류	KQ	3100
A002880	대유에이텍	자동차 및 관련부품	KS	2880
A250000	보라티알	식음료	KQ	250000
A122990	와이솔	IT 장비 및 소재	KQ	122990
A246710	티앤알바이오팹	제약 및 바이오	KQ	246710
A034590	인천도시가스	유틸리티	KS	34590
A065680	우주일렉트로	IT 장비 및 소재	KQ	65680
A333620	엔시스	IT 장비 및 소재	KQ	333620
A109610	에스와이	건설 및 건축자재	KQ	109610
A004490	세방전지	자동차 및 관련부품	KS	4490
A261200	덴티스	의료기기 및 용품	KQ	261200
A226360	KH E&T	건설 및 건축자재	KQ	226360
A015750	성우하이텍	자동차 및 관련부품	KQ	15750
A900310	컬러레이	지주사	KQ	900310
A032080	아즈텍WB	섬유 및 의류	KQ	32080
A057030	YBM넷	일반서비스	KQ	57030
A007570	일양약품	제약 및 바이오	KS	7570
A102120	어보브반도체	반도체 관련장비 및 부품	KQ	102120
A054300	팬스타엔터프라이즈	기계	KQ	54300
A009190	대양금속	철강 및 비철강	KS	9190
A286940	롯데정보통신	IT서비스	KS	286940
A011810	STX	일반서비스	KS	11810
A002210	동성제약	제약 및 바이오	KS	2210
A365550	ESR켄달스퀘어리츠	일반서비스	KS	365550
A007210	벽산	건설 및 건축자재	KS	7210
A092780	동양피스톤	자동차 및 관련부품	KS	92780
A007720	대명소노시즌	전기 및 전자기기	KQ	7720
A286750	나노브릭	IT서비스	KQ	286750
A068330	일신바이오	의료기기 및 용품	KQ	68330
A372910	한컴라이프케어	의료기기 및 용품	KS	372910
A059090	미코	반도체 관련장비 및 부품	KQ	59090
A004560	현대비앤지스틸	철강 및 비철강	KS	4560
A100120	뷰웍스	의료기기 및 용품	KQ	100120
A034940	조아제약	제약 및 바이오	KQ	34940
A036630	세종텔레콤	통신	KQ	36630
A211050	인카금융서비스	금융	KQ	211050
A151910	나노스	IT 장비 및 소재	KQ	151910
A348350	위드텍	전기 및 전자기기	KQ	348350
A007770	한일화학	화학	KQ	7770
A017890	한국알콜	화학	KQ	17890
A011930	신성이엔지	에너지	KS	11930
A211270	AP위성	통신	KQ	211270
A003720	삼영화학	종이 및 용기	KS	3720
A003350	한국화장품제조	가정용품	KS	3350
A032560	황금에스티	철강 및 비철강	KS	32560
A251630	브이원텍	디스플레이 장비 및 부품	KQ	251630
A034830	한국토지신탁	일반서비스	KS	34830
A033130	디지틀조선	미디어 및 엔터	KQ	33130
A058430	포스코강판	철강 및 비철강	KS	58430
A033830	티비씨	미디어 및 엔터	KQ	33830
A078160	메디포스트	제약 및 바이오	KQ	78160
A091090	세원이앤씨	제약 및 바이오	KS	91090
A140520	대창스틸	철강 및 비철강	KQ	140520
A012630	HDC	지주사	KS	12630
A047400	유니온머티리얼	자동차 및 관련부품	KS	47400
A042000	카페24	IT서비스	KQ	42000
A025890	한국주강	조선	KS	25890
A060540	에스에이티	통신	KQ	60540
A030190	NICE평가정보	IT서비스	KQ	30190
A001560	제일연마	철강 및 비철강	KS	1560
A060280	큐렉소	의료기기 및 용품	KQ	60280
A332570	와이팜	IT 장비 및 소재	KQ	332570
A067390	아스트	기계	KQ	67390
A139670	키네마스터	IT서비스	KQ	139670
A096610	알에프세미	IT 장비 및 소재	KQ	96610
A278650	노터스	제약 및 바이오	KQ	278650
A306040	에스제이그룹	섬유 및 의류	KQ	306040
A041960	코미팜	제약 및 바이오	KQ	41960
A073490	이노와이어리스	통신	KQ	73490
A036010	아비코전자	IT 장비 및 소재	KQ	36010
A239890	피엔에이치테크	화학	KQ	239890
A006890	태경케미컬	화학	KS	6890
A125210	아모그린텍	IT 장비 및 소재	KQ	125210
A003850	보령제약	제약 및 바이오	KS	3850
A067730	로지시스	IT서비스	KQ	67730
A002780	진흥기업	건설 및 건축자재	KS	2780
A243070	휴온스	제약 및 바이오	KQ	243070
A281740	레이크머티리얼즈	화학	KQ	281740
A006730	서부T&D	운송 및 물류	KQ	6730
A049950	미래컴퍼니	디스플레이 장비 및 부품	KQ	49950
A136480	하림	식음료	KQ	136480
A034120	SBS	지주사	KS	34120
A046440	KG모빌리언스	IT서비스	KQ	46440
A083650	비에이치아이	기계	KQ	83650
A310200	애니플러스	미디어 및 엔터	KQ	310200
A290550	디케이티	IT 장비 및 소재	KQ	290550
A263860	지니언스	IT서비스	KQ	263860
A036810	에프에스티	반도체 관련장비 및 부품	KQ	36810
A017040	광명전기	기계	KS	17040
A016380	KG동부제철	철강 및 비철강	KS	16380
A069460	대호에이엘	철강 및 비철강	KS	69460
A067900	와이엔텍	일반서비스	KQ	67900
A298040	효성중공업	건설 및 건축자재	KS	298040
A232680	라온테크	반도체 관련장비 및 부품	KQ	232680
A094860	네오리진	IT서비스	KQ	94860
A241710	코스메카코리아	가정용품	KQ	241710
A002290	삼일기업공사	건설 및 건축자재	KQ	2290
A238090	앤디포스	IT 장비 및 소재	KQ	238090
A053450	세코닉스	IT 장비 및 소재	KQ	53450
A058820	CMG제약	제약 및 바이오	KQ	58820
A215480	토박스코리아	섬유 및 의류	KQ	215480
A027050	코리아나	가정용품	KQ	27050
A009450	경동나비엔	기계	KS	9450
A261780	차백신연구소	제약 및 바이오	KQ	261780
A196490	디에이테크놀로지	IT 장비 및 소재	KQ	196490
A252500	세화피앤씨	가정용품	KQ	252500
A014970	삼륭물산	종이 및 용기	KQ	14970
A000890	보해양조	식음료	KS	890
A089030	테크윙	반도체 관련장비 및 부품	KQ	89030
A352940	인바이오	화학	KQ	352940
A033320	제이씨현시스템	전기 및 전자기기	KQ	33320
A014190	원익큐브	화학	KQ	14190
A001740	SK네트웍스	석유 및 가스	KS	1740
A064480	브리지텍	IT서비스	KQ	64480
A038110	에코플라스틱	자동차 및 관련부품	KQ	38110
A026960	동서	지주사	KS	26960
A290510	코리아센터	유통	KQ	290510
A199800	툴젠	제약 및 바이오	KQ	199800
A284620	카이노스메드	제약 및 바이오	KQ	284620
A008060	대덕	지주사	KS	8060
A260660	알리코제약	제약 및 바이오	KQ	260660
A065440	이루온	IT서비스	KQ	65440
A084680	이월드	레저산업	KS	84680
A092200	디아이씨	자동차 및 관련부품	KS	92200
A001810	무림SP	종이 및 용기	KQ	1810
A009810	플레이그램	종이 및 용기	KS	9810
A383800	LX홀딩스	지주사	KS	383800
A035510	신세계 I&C	IT서비스	KS	35510
A102460	이연제약	제약 및 바이오	KS	102460
A352480	씨앤씨인터내셔널	가정용품	KQ	352480
A092040	아미코젠	제약 및 바이오	KQ	92040
A098120	마이크로컨텍솔	반도체 관련장비 및 부품	KQ	98120
A045390	대아티아이	운송 및 물류	KQ	45390
A017390	서울가스	유틸리티	KS	17390
A010050	우리종금	금융	KS	10050
A016880	웅진	IT서비스	KS	16880
A126600	코프라	자동차 및 관련부품	KQ	126600
A011500	한농화성	화학	KS	11500
A301300	바이브컴퍼니	IT서비스	KQ	301300
A088910	동우팜투테이블	식음료	KQ	88910
A224110	에이텍티앤	전기 및 전자기기	KQ	224110
A072520	제넨바이오	IT 장비 및 소재	KQ	72520
A317830	에스피시스템스	기계	KQ	317830
A100700	세운메디칼	의료기기 및 용품	KQ	100700
A347860	알체라	IT서비스	KQ	347860
A227950	엔투텍	반도체 관련장비 및 부품	KQ	227950
A007460	에이프로젠 MED	기계	KS	7460
A335890	비올	의료기기 및 용품	KQ	335890
A950180	SNK	미디어 및 엔터	KQ	950180
A285490	노바텍	IT 장비 및 소재	KQ	285490
A123410	코리아에프티	자동차 및 관련부품	KQ	123410
A075580	세진중공업	조선	KS	75580
A089230	THE E&M	철강 및 비철강	KQ	89230
A352700	씨앤투스성진	섬유 및 의류	KQ	352700
A053690	한미글로벌	건설 및 건축자재	KS	53690
A376180	피코그램	가정용품	KQ	376180
A204620	글로벌텍스프리	레저산업	KQ	204620
A348210	넥스틴	반도체 관련장비 및 부품	KQ	348210
A092190	서울바이오시스	전기 및 전자기기	KQ	92190
A332290	누보	금융	KQ	332290
A102280	쌍방울	섬유 및 의류	KS	102280
A025880	케이씨피드	식음료	KQ	25880
A203650	드림시큐리티	IT서비스	KQ	203650
A092070	디엔에프	반도체 관련장비 및 부품	KQ	92070
A243840	신흥에스이씨	IT 장비 및 소재	KQ	243840
A047310	파워로직스	IT 장비 및 소재	KQ	47310
A048770	TPC	전기 및 전자기기	KQ	48770
A185750	종근당	제약 및 바이오	KS	185750
A198440	고려시멘트	건설 및 건축자재	KQ	198440
A084990	헬릭스미스	제약 및 바이오	KQ	84990
A382800	지앤비에스엔지니어링	반도체 관련장비 및 부품	KQ	382800
A008700	아남전자	가정용품	KS	8700
A340570	티앤엘	의료기기 및 용품	KQ	340570
A170920	엘티씨	디스플레이 장비 및 부품	KQ	170920
A148150	세경하이테크	IT 장비 및 소재	KQ	148150
A004720	팜젠사이언스	제약 및 바이오	KS	4720
A025320	시노펙스	디스플레이 장비 및 부품	KQ	25320
A096240	청담러닝	일반서비스	KQ	96240
A183300	코미코	반도체 관련장비 및 부품	KQ	183300
A201490	미투온	미디어 및 엔터	KQ	201490
A021050	서원	철강 및 비철강	KS	21050
A011420	갤럭시아에스엠	미디어 및 엔터	KS	11420
A008730	율촌화학	종이 및 용기	KS	8730
A018680	서울제약	제약 및 바이오	KQ	18680
A073640	테라사이언스	기계	KQ	73640
A080520	오디텍	반도체 관련장비 및 부품	KQ	80520
A005850	에스엘	자동차 및 관련부품	KS	5850
A234690	녹십자웰빙	제약 및 바이오	KQ	234690
A140860	파크시스템스	의료기기 및 용품	KQ	140860
A308080	바이젠셀	제약 및 바이오	KQ	308080
A031980	피에스케이홀딩스	지주사	KQ	31980
A003480	한진중공업홀딩스	지주사	KS	3480
A228670	레이	의료기기 및 용품	KQ	228670
A054780	키이스트	미디어 및 엔터	KQ	54780
A038500	삼표시멘트	건설 및 건축자재	KQ	38500
A175330	JB금융지주	지주사	KS	175330
A065170	넥스트BT	식음료	KQ	65170
A060150	인선이엔티	일반서비스	KQ	60150
A348950	제이알글로벌리츠	일반서비스	KS	348950
A263600	덕우전자	IT 장비 및 소재	KQ	263600
A102710	이엔에프테크놀로지	반도체 관련장비 및 부품	KQ	102710
A094940	푸른기술	전기 및 전자기기	KQ	94940
A009420	한올바이오파마	제약 및 바이오	KS	9420
A163730	핑거	IT서비스	KQ	163730
A060560	홈센타홀딩스	지주사	KQ	60560
A093230	이아이디	석유 및 가스	KS	93230
A003090	대웅	제약 및 바이오	KS	3090
A007690	국도화학	화학	KS	7690
A011150	CJ씨푸드	식음료	KS	11150
A077500	유니퀘스트	반도체 관련장비 및 부품	KS	77500
A339950	아이비김영	일반서비스	KQ	339950
A044450	KSS해운	운송 및 물류	KS	44450
A000520	삼일제약	제약 및 바이오	KS	520
A333430	일승	조선	KQ	333430
A061250	화일약품	제약 및 바이오	KQ	61250
A069260	휴켐스	화학	KS	69260
A299030	하나기술	IT 장비 및 소재	KQ	299030
A270520	지엔원에너지	에너지	KQ	270520
A082270	젬백스	제약 및 바이오	KQ	82270
A085910	네오티스	기계	KQ	85910
A277880	티에스아이	기계	KQ	277880
A344820	KCC글라스	건설 및 건축자재	KS	344820
A290650	엘앤씨바이오	의료기기 및 용품	KQ	290650
A377480	마인즈랩	IT서비스	KQ	377480
A115960	연우	가정용품	KQ	115960
A015020	이스타코	미디어 및 엔터	KS	15020
A094170	동운아나텍	IT 장비 및 소재	KQ	94170
A065060	지엔코	섬유 및 의류	KQ	65060
A215090	휴센텍	기계	KQ	215090
A042510	라온시큐어	IT서비스	KQ	42510
A352910	오비고	IT서비스	KQ	352910
A002100	경농	화학	KS	2100
A102940	코오롱생명과학	제약 및 바이오	KQ	102940
A004990	롯데지주	지주사	KS	4990
A318020	포인트모바일	IT 장비 및 소재	KQ	318020
A002410	범양건영	건설 및 건축자재	KS	2410
A078130	국일제지	종이 및 용기	KQ	78130
A294570	쿠콘	IT서비스	KQ	294570
A001140	국보	운송 및 물류	KS	1140
A002900	TYM	기계	KS	2900
A054180	메디콕스	조선	KQ	54180
A060250	NHN한국사이버결제	IT서비스	KQ	60250
A267260	현대일렉트릭	기계	KS	267260
A950210	프레스티지바이오파마	제약 및 바이오	KS	950210
A001390	KG케미칼	화학	KS	1390
A065660	안트로젠	제약 및 바이오	KQ	65660
A119850	지엔씨에너지	유틸리티	KQ	119850
A013720	CBI	자동차 및 관련부품	KQ	13720
A024950	삼천리자전거	레저산업	KQ	24950
A042600	새로닉스	디스플레이 장비 및 부품	KQ	42600
A047080	한빛소프트	미디어 및 엔터	KQ	47080
A220630	맘스터치	식음료	KQ	220630
A078140	대봉엘에스	가정용품	KQ	78140
A009620	삼보산업	자동차 및 관련부품	KQ	9620
A037030	파워넷	IT 장비 및 소재	KQ	37030
A030350	드래곤플라이	미디어 및 엔터	KQ	30350
A060900	대한그린파워	석유 및 가스	KQ	60900
A214330	금호에이치티	자동차 및 관련부품	KS	214330
A007340	디티알오토모티브	자동차 및 관련부품	KS	7340
A222160	바이옵트로	반도체 관련장비 및 부품	KQ	222160
A241590	화승엔터프라이즈	섬유 및 의류	KS	241590
A067290	JW신약	제약 및 바이오	KQ	67290
A290690	소룩스	반도체 관련장비 및 부품	KQ	290690
A303530	이노뎁	IT서비스	KQ	303530
A104700	한국철강	철강 및 비철강	KS	104700
A089140	넥스턴바이오	기계	KQ	89140
A005610	SPC삼립	식음료	KS	5610
A005250	녹십자홀딩스	지주사	KS	5250
A073110	엘엠에스	디스플레이 장비 및 부품	KQ	73110
A086450	동국제약	제약 및 바이오	KQ	86450
A089970	에이피티씨	반도체 관련장비 및 부품	KQ	89970
A001680	대상	식음료	KS	1680
A047560	이스트소프트	IT서비스	KQ	47560
A208370	셀바스헬스케어	의료기기 및 용품	KQ	208370
A036200	유니셈	반도체 관련장비 및 부품	KQ	36200
A282880	코윈테크	기계	KQ	282880
A183190	아세아시멘트	건설 및 건축자재	KS	183190
A108670	LX하우시스	건설 및 건축자재	KS	108670
A003610	방림	섬유 및 의류	KS	3610
A001430	세아베스틸	철강 및 비철강	KS	1430
A005950	이수화학	화학	KS	5950
A000370	한화손해보험	금융	KS	370
A145990	삼양사	식음료	KS	145990
A039830	오로라	유아동산업	KQ	39830
A056360	코위버	통신	KQ	56360
A311320	지오엘리먼트	반도체 관련장비 및 부품	KQ	311320
A080720	한국유니온제약	제약 및 바이오	KQ	80720
A063570	한국전자금융	IT서비스	KQ	63570
A210540	디와이파워	기계	KS	210540
A086960	한컴MDS	IT서비스	KQ	86960
A190510	나무가	IT 장비 및 소재	KQ	190510
A033160	엠케이전자	반도체 관련장비 및 부품	KQ	33160
A050890	쏠리드	통신	KQ	50890
A079370	제우스	반도체 관련장비 및 부품	KQ	79370
A013580	계룡건설	건설 및 건축자재	KS	13580
A020000	한섬	섬유 및 의류	KS	20000
A002720	국제약품	제약 및 바이오	KS	2720
A086390	유니테스트	반도체 관련장비 및 부품	KQ	86390
A004100	태양금속	자동차 및 관련부품	KS	4100
A131180	딜리	전기 및 전자기기	KQ	131180
A182360	큐브엔터	미디어 및 엔터	KQ	182360
A053980	오상자이엘	IT서비스	KQ	53980
A003030	세아제강지주	지주사	KS	3030
A043150	바텍	의료기기 및 용품	KQ	43150
A012340	뉴인텍	IT 장비 및 소재	KQ	12340
A015230	대창단조	기계	KS	15230
A252990	샘씨엔에스	반도체 관련장비 및 부품	KQ	252990
A033500	동성화인텍	조선	KQ	33500
A131370	알서포트	IT서비스	KQ	131370
A330860	네패스아크	반도체 관련장비 및 부품	KQ	330860
A237820	플레이디	미디어 및 엔터	KQ	237820
A039840	디오	의료기기 및 용품	KQ	39840
A217500	러셀	반도체 관련장비 및 부품	KQ	217500
A106190	하이텍팜	제약 및 바이오	KQ	106190
A137940	넥스트아이	디스플레이 장비 및 부품	KQ	137940
A300720	한일시멘트	건설 및 건축자재	KS	300720
A131290	티에스이	반도체 관련장비 및 부품	KQ	131290
A214420	토니모리	가정용품	KS	214420
A334970	프레스티지바이오로직스	제약 및 바이오	KQ	334970
A099750	이지케어텍	의료기기 및 용품	KQ	99750
A009460	한창제지	종이 및 용기	KS	9460
A265520	AP시스템	디스플레이 장비 및 부품	KQ	265520
A075970	동국알앤에스	철강 및 비철강	KQ	75970
A043610	지니뮤직	미디어 및 엔터	KQ	43610
A267270	현대건설기계	기계	KS	267270
A089890	코세스	반도체 관련장비 및 부품	KQ	89890
A294090	이오플로우	의료기기 및 용품	KQ	294090
A119610	인터로조	의료기기 및 용품	KQ	119610
A226330	신테카바이오	제약 및 바이오	KQ	226330
A020180	대신정보통신	IT서비스	KQ	20180
A002700	신일전자	가정용품	KS	2700
A084850	아이티엠반도체	IT 장비 및 소재	KQ	84850
A048530	인트론바이오	제약 및 바이오	KQ	48530
A051380	피씨디렉트	유통	KQ	51380
A016710	대성홀딩스	지주사	KS	16710
A095610	테스	반도체 관련장비 및 부품	KQ	95610
A322000	현대에너지솔루션	에너지	KS	322000
A171010	램테크놀러지	반도체 관련장비 및 부품	KQ	171010
A217600	켐온	제약 및 바이오	KQ	217600
A025950	동신건설	건설 및 건축자재	KQ	25950
A038880	아이에이	자동차 및 관련부품	KQ	38880
A041460	한국전자인증	IT서비스	KQ	41460
A264850	이랜시스	IT 장비 및 소재	KQ	264850
A181340	이즈미디어	IT 장비 및 소재	KQ	181340
A313760	윌링스	에너지	KQ	313760
A376980	원티드랩	IT서비스	KQ	376980
A053160	프리엠스	기계	KQ	53160
A018700	바른손	미디어 및 엔터	KQ	18700
A006620	동구바이오제약	제약 및 바이오	KQ	6620
A019180	티에이치엔	자동차 및 관련부품	KS	19180
A063440	SM LIFE DESIGN	유통	KQ	63440
A357580	아모센스	IT 장비 및 소재	KQ	357580
A061970	엘비세미콘	반도체 관련장비 및 부품	KQ	61970
A024890	대원화성	섬유 및 의류	KS	24890
A307930	컴퍼니케이	금융	KQ	307930
A038070	서린바이오	제약 및 바이오	KQ	38070
A086900	메디톡스	의료기기 및 용품	KQ	86900
A091810	티웨이항공	운송 및 물류	KS	91810
A217270	넵튠	미디어 및 엔터	KQ	217270
A008260	NI스틸	철강 및 비철강	KS	8260
A000210	DL	지주사	KS	210
A218410	RFHIC	통신	KQ	218410
A012750	에스원	IT서비스	KS	12750
A013890	지누스	가정용품	KS	13890
A950220	네오이뮨텍(REG.S)	제약 및 바이오	KQ	950220
A012860	모베이스전자	자동차 및 관련부품	KQ	12860
A207760	미스터블루	미디어 및 엔터	KQ	207760
A142210	유니트론텍	반도체 관련장비 및 부품	KQ	142210
A039440	에스티아이	반도체 관련장비 및 부품	KQ	39440
A085670	뉴프렉스	IT 장비 및 소재	KQ	85670
A347770	핌스	반도체 관련장비 및 부품	KQ	347770
A009520	포스코엠텍	철강 및 비철강	KQ	9520
A009310	참엔지니어링	디스플레이 장비 및 부품	KS	9310
A055490	테이팩스	화학	KS	55490
A000250	삼천당제약	제약 및 바이오	KQ	250
A303030	지니틱스	반도체 관련장비 및 부품	KQ	303030
A129890	앱코	가정용품	KQ	129890
A115500	케이씨에스	IT서비스	KQ	115500
A006740	영풍제지	종이 및 용기	KS	6740
A065350	신성델타테크	IT 장비 및 소재	KQ	65350
A096040	이트론	전기 및 전자기기	KQ	96040
A277810	레인보우로보틱스	기계	KQ	277810
A003410	쌍용C&E	건설 및 건축자재	KS	3410
A029480	릭스솔루션	IT서비스	KQ	29480
